Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Precipitation,Visibility,Cloud Cover,month,year,season,is_festival,is_extreme_heat,temp_anomaly
35.83,7.78,18.08,35.72,15,0,6.2,30,3,2014,3,0,1,5.98
34,9.44,22.81,36.33,11.4,0,6.2,23.3,3,2014,3,0,1,4.15
36.06,8.67,18.94,36.11,10.3,0,6.2,30,3,2014,3,0,1,6.21
30.11,13.39,37.26,31.94,8.1,0,6.2,30,3,2014,3,0,0,0.26
35.83,10,20.94,36.33,9.2,0,6.2,31.2,3,2014,3,0,1,5.98
33.22,16.44,41.02,36.61,8.1,0,5.9,28,4,2014,3,1,1,2.21
31.72,18.44,48.59,36.56,6.9,0,6.2,52.5,4,2014,3,0,1,0.71
35.72,14.22,28.46,36.94,10.3,0,6.2,38.6,4,2014,3,0,1,4.71
28.5,18,53.26,32.39,8.1,0,6.2,30,4,2014,3,0,0,-2.51
35.5,12,24.94,36.61,12.8,0,6.2,44.5,4,2014,3,0,1,4.49
32.56,12.56,33.73,34.33,9.2,0,6.2,40,4,2014,3,0,0,1.55
35.17,7.78,19.02,34.61,12.8,0,6.2,30,4,2014,3,0,0,4.16
30.33,16.39,43.83,33,9.2,0,6.2,30,4,2014,3,0,0,-0.68
36.44,10.11,20.98,36.11,10.3,0,6.2,34.4,4,2014,3,0,1,5.43
34.44,11.06,28.11,35.56,15,0,6.2,35.7,4,2014,3,0,1,3.43
32.44,14.11,36.08,34.89,11.4,0,6.2,18.7,4,2014,3,1,0,1.43
35.61,6.39,16.52,35.72,10.3,0,6.2,31.2,4,2014,3,1,1,4.6
27.17,21.94,73.5,34.17,10.3,0,6.2,40,4,2014,3,1,0,-3.84
35.39,11.61,26.04,36.39,10.3,0,6.2,49.5,4,2014,3,1,1,4.38
33.17,17.28,39.9,36.83,8.1,0,6.2,54.2,4,2014,3,0,1,2.16
34.17,16.33,35.09,35.83,6.9,0,6.2,64.9,4,2014,3,0,1,3.16
26.5,20.94,71.93,33.61,3.4,0,5.6,86.9,4,2014,3,0,0,-4.51
33.17,15.44,34.7,35.11,11.4,0,5.6,44.1,4,2014,3,0,1,2.16
32.61,16.94,41.73,36.56,9.2,0,6.2,47.5,4,2014,3,0,1,1.6
31,19.28,51.72,36.28,6.9,0,6.2,56.2,4,2014,3,0,1,-0.01
32.17,17.67,42.41,35.33,9.2,0,5,69.9,4,2014,3,0,1,1.16
27.83,20.33,63.78,33.28,6.9,0,6.2,40,4,2014,3,1,0,-3.18
33.56,18,40.89,36.83,8.1,0,6.2,54.6,4,2014,3,1,1,2.55
31.67,20.06,53.28,36.56,10.3,0,5.4,53.7,4,2014,3,0,1,0.66
34.06,13.5,29.17,35.44,9.2,0,5.6,50,4,2014,3,0,1,3.05
28.94,19.5,57.02,33.28,6.9,0,5.3,25,4,2014,3,0,0,-2.07
33.72,18.11,39.92,36.28,10.3,0,5,56.6,4,2014,3,0,1,2.71
32.83,18.06,44.32,38.61,8.1,0,6.2,51.2,4,2014,3,0,1,1.82
30.89,21.39,58.96,37.67,8.1,0,6,47.4,4,2014,3,0,1,-0.12
34.06,16.5,36.82,36.28,13.9,0,5.6,74.7,4,2014,3,0,1,3.05
27.83,19.56,61.72,33,3.4,0,6.2,39.8,4,2014,3,0,0,-3.18
34.44,17.17,36.98,36.94,10.3,0,5.7,55.6,4,2014,3,0,1,3.43
32.78,18.22,44.05,37.44,8.1,0,6.2,56.6,4,2014,3,0,1,1.77
35.94,12.94,25.54,36.94,9.2,0,6.2,54.9,4,2014,3,0,1,4.93
30.89,17.39,45.48,33,6.9,0,6.2,35,4,2014,3,1,0,-0.12
36.11,6.22,17.08,35.22,13.9,0,6.2,33.7,4,2014,3,1,1,5.1
34.11,8.5,23.38,35.06,13.9,0,6.2,43.5,4,2014,3,0,1,3.1
33.28,8,22.71,35.33,11.4,0,6.2,45,4,2014,3,0,1,2.27
36,6.67,16.69,35.44,16.1,0,6.2,30,4,2014,3,0,1,4.99
29.06,14.67,43.33,31,5.8,0,6.2,65,4,2014,3,0,0,-1.95
34.78,11.28,25.74,34.89,11.4,0,6.2,59.9,4,2014,3,0,0,3.77
33.5,17.39,42.73,41.67,8.1,0,6.2,37,4,2014,3,0,1,2.49
36.44,12,24.89,35.72,8.1,0,6.2,43.6,4,2014,3,0,1,5.43
30.22,22.5,64.25,38.06,8.1,0,5.6,42.5,4,2014,3,0,1,-0.79
36.78,16.39,30.76,38.78,9.2,0,6.2,45.8,4,2014,3,0,1,5.77
34.17,19,44.48,41.22,10.3,0,6.2,49.5,4,2014,3,0,1,3.16
32.33,20.44,50.49,39.33,5.8,0,6,47.4,4,2014,3,1,1,1.32
35.94,14.61,28.6,37.67,8.1,0,6.2,52.5,4,2014,3,1,1,4.93
29.94,21.94,62.4,36.78,5.8,0,6.2,60,4,2014,3,0,1,-1.07
36.11,14.67,28.98,38,13.9,0,6.2,39.9,4,2014,3,0,1,5.1
33.94,17.5,40.82,38,11.4,0,6.2,42,4,2014,3,0,1,2.93
35.94,13.89,28.01,36.61,10.3,0,6.2,43.6,4,2014,3,0,1,4.93
30.5,21.06,57.86,38.28,5.8,0,6.2,54.9,4,2014,3,0,1,-0.51
36.22,15.5,29.53,38.11,10.3,0,6.2,42,4,2014,3,0,1,5.21
33.72,17.72,40.46,38,12.8,0,6.2,47.9,5,2014,3,0,1,4.32
33.5,18.28,41.86,39.17,5.8,0,6.2,47.4,5,2014,3,0,1,4.1
35.06,16.72,34.01,38.61,15,0,5.3,62.4,5,2014,3,0,1,5.66
28.67,22.11,67.58,36.56,3.4,0,5.6,50,5,2014,3,0,1,-0.73
34.22,17.78,38.82,38.06,10.3,0,5.9,53.7,5,2014,3,0,1,4.82
32.67,18.33,44.69,37.44,10.3,0,6.2,57.1,5,2014,3,1,1,3.27
35.06,15.67,31.73,37.44,10.3,0,6.2,69.9,5,2014,3,1,1,5.66
29,20.72,61.55,34.94,8.1,0,6.2,59.2,5,2014,3,0,0,-0.4
34,18.22,39.7,38.11,12.8,0,6.2,59.9,5,2014,3,0,1,4.6
30.22,20.78,57.6,36.11,11.4,0,6.2,72.7,5,2014,3,0,1,0.82
28.11,22.06,70.35,35.78,15,0,5.4,90.9,5,2014,3,0,1,-1.29
29.61,20.11,56.91,34.94,15,0,6.2,84.4,5,2014,3,0,0,0.21
25.06,22.28,85.06,31.94,16.1,0,3.1,94.4,5,2014,3,0,0,-4.34
26.94,23.06,79.93,35.5,20.8,0.16,5.3,92,5,2014,3,0,1,-2.46
27.39,22.39,74.65,35.5,20.8,0,5.4,89.4,5,2014,3,0,1,-2.01
28.94,21.83,65.67,35.5,13.9,0,5.6,74.5,5,2014,3,0,1,-0.46
27.61,20.67,66.85,34.56,11.4,0,6.2,35,5,2014,3,0,0,-1.79
33.56,18.72,41.68,38.89,9.2,0,6.2,57.8,5,2014,3,0,1,4.16
32.06,18.61,47.13,36.94,9.2,0,5.8,53.3,5,2014,3,1,1,2.66
32.72,15.17,37.14,36.56,9.2,0,6.2,33.7,5,2014,3,0,1,3.32
35.72,13.5,26.53,37.67,4.7,0,6.2,52.5,5,2014,3,0,1,6.32
29.44,19.06,55.83,34,6.9,0,6.2,69.9,5,2014,3,0,0,0.04
34.33,16.44,36.14,38.61,6.9,0,6.2,54.9,5,2014,3,0,1,4.93
33.06,14.83,36.05,36.17,10.3,0,6.2,43.2,5,2014,3,0,1,3.66
35.06,12.67,26.12,36.17,8.1,0,6.2,64.9,5,2014,3,0,1,5.66
30.11,17.56,48.03,33.44,9.2,0,6.2,52.4,5,2014,3,0,0,0.71
35.39,13.11,26.4,36.17,9.2,0,6.2,58.3,5,2014,3,0,1,5.99
33.56,15.72,36.92,36.5,11.4,0,6.2,54.9,5,2014,3,0,1,4.16
31.72,20.06,51.91,38.11,9.2,0,6.2,40.8,5,2014,3,0,1,2.32
30.83,18.44,50.41,36.83,19.6,0,5.6,67.4,5,2014,3,0,1,1.43
28.56,20.67,63.09,35.78,9.2,0,6.2,80,5,2014,3,0,1,-0.84
